uf,cidade,qtd_pop
MU,Pedro Afonso (TO),13578
MU,Peixe (TO),11749
MU,Pequizeiro (TO),5477
MU,Colméia (TO),8205
MU,Pindorama do Tocantins (TO),4447
MU,Piraquê (TO),3028
MU,Pium (TO),7654
MU,Ponte Alta do Bom Jesus (TO),4596
MU,Ponte Alta do Tocantins (TO),8039
MU,Porto Alegre do Tocantins (TO),3139
MU,Porto Nacional (TO),53010
MU,Praia Norte (TO),8432
MU,Presidente Kennedy (TO),3684
MU,Pugmil (TO),2688
MU,Recursolândia (TO),4293
MU,Riachinho (TO),4645
MU,Rio da Conceição (TO),2130
MU,Rio dos Bois (TO),2834
MU,Rio Sono (TO),6478
MU,Sampaio (TO),4711
MU,Sandolândia (TO),3375
MU,Santa Fé do Araguaia (TO),7512
MU,Santa Maria do Tocantins (TO),3434
MU,Santa Rita do Tocantins (TO),2365
MU,Santa Rosa do Tocantins (TO),4829
MU,Santa Tereza do Tocantins (TO),2866
MU,Santa Terezinha do Tocantins (TO),2529
MU,São Bento do Tocantins (TO),5324
MU,São Félix do Tocantins (TO),1585
MU,São Miguel do Tocantins (TO),12139
MU,São Salvador do Tocantins (TO),3082
MU,São Sebastião do Tocantins (TO),4805
MU,São Valério (TO),3960
MU,Silvanópolis (TO),5403
MU,Sítio Novo do Tocantins (TO),9029
MU,Sucupira (TO),1966
MU,Taguatinga (TO),16683
MU,Taipas do Tocantins (TO),2148
MU,Talismã (TO),2793
MU,Palmas (TO),299127
MU,Tocantínia (TO),7545
MU,Tocantinópolis (TO),22870
MU,Tupirama (TO),1891
MU,Tupiratins (TO),2671
MU,Wanderlândia (TO),11683
MU,Xambioá (TO),11540
MU,Açailândia (MA),112445
MU,Afonso Cunha (MA),6524
MU,Água Doce do Maranhão (MA),12571
MU,Alcântara (MA),22097
MU,Aldeias Altas (MA),26532
MU,Altamira do Maranhão (MA),8128
MU,Alto Alegre do Maranhão (MA),27053
MU,Alto Alegre do Pindaré (MA),31919
MU,Alto Parnaíba (MA),11190
MU,Amapá do Maranhão (MA),6962
MU,Amarante do Maranhão (MA),41435
MU,Anajatuba (MA),26803
MU,Anapurus (MA),15732
MU,Apicum-Açu (MA),17239
MU,Araguanã (MA),15426
MU,Araioses (MA),46440
MU,Arame (MA),32701
MU,Arari (MA),29848
MU,Axixá (MA),12130
MU,Bacabal (MA),104949
MU,Bacabeira (MA),17055
MU,Bacuri (MA),18582
